LTd_history,MP_history,anm_type,p_anm
"[5.584762494193971e-05, 6.240754972309768e-05, 6.296245839485873e-05, 5.3916962187847535e-05, 2.6486995209046138e-05, 4.974149711332054e-05, 3.143773544405604e-05, 7.141476385218694e-05, 0.00015075055622362684]","[2.5034831198948027, 2.5300444187152222, 2.537149647422589, 2.5347303337673006, 2.5452981447572287, 2.4692083210826605, 0.0, 0.0, 0.0]",0,0.0
"[5.155241512718494e-05, 5.584762494193971e-05, 6.240754972309768e-05, 5.9528999525418104e-05, 3.2645654356550393e-05, 4.4869478141842675e-05, 3.4320753660375254e-05, 7.26666673283123e-05, 0.0001457721877823367]","[2.53224553560196, 2.5034831198948027, 2.5300444187152222, 2.5469993555437047, 2.562126926258172, 2.4700427994308116, 0.0, 0.0, 0.0]",0,0.0
"[4.120782995628624e-05, 5.155241512718494e-05, 5.584762494193971e-05, 6.296245839485873e-05, 4.030153973896234e-05, 4.3440159357383664e-05, 3.111185971765807e-05, 6.630766846745812e-05, 0.00013609748747791728]","[2.58835507881946, 2.53224553560196, 2.5034831198948027, 2.537149647422589, 2.5847974742772877, 2.4726129319415646, 0.0, 0.0, 0.0]",0,0.0
"[2.9298184894913375e-05, 4.120782995628624e-05, 5.155241512718494e-05, 6.240754972309768e-05, 4.712749546421469e-05, 3.852085463971222e-05, 2.6168375559135088e-05, 6.429965625641563e-05, 0.0001324755595858159]","[2.617365601007713, 2.58835507881946, 2.53224553560196, 2.5300444187152222, 2.530819318830754, 2.4770295507636195, 0.0, 0.0, 0.0]",0,0.0
"[2.5568159701470133e-05, 2.9298184894913375e-05, 4.120782995628624e-05, 5.584762494193971e-05, 5.3916962187847535e-05, 3.548483552808623e-05, 2.2038562331814744e-05, 6.361486127943112e-05, 0.00012723887627732143]","[2.677404645627564, 2.617365601007713, 2.58835507881946, 2.5034831198948027, 2.5347303337673006, 2.5091981928605143, 0.0, 0.0, 0.0]",0,0.0
"[2.2861931561681876e-05, 2.5568159701470133e-05, 2.9298184894913375e-05, 5.155241512718494e-05, 5.9528999525418104e-05, 3.866791770824863e-05, 1.6360138491126132e-05, 5.317684945869385e-05, 0.00010934888731016596]","[2.7273645106583686, 2.677404645627564, 2.617365601007713, 2.53224553560196, 2.5469993555437047, 2.496623093353037, 0.0, 0.0, 0.0]",0,0.0
"[1.567935893720494e-05, 2.2861931561681876e-05, 2.5568159701470133e-05, 4.120782995628624e-05, 6.296245839485873e-05, 4.572424513266618e-05, 2.0190508180989898e-05, 3.973478400125916e-05, 9.880461563340553e-05]","[2.7477283264727337, 2.7273645106583686, 2.677404645627564, 2.58835507881946, 2.537149647422589, 2.528963285064784, 0.0, 0.0, 0.0]",0,0.0
"[1.8425970071900586e-05, 1.567935893720494e-05, 2.2861931561681876e-05, 2.9298184894913375e-05, 6.240754972309768e-05, 3.3251805495966325e-05, 2.6629716501743592e-05, 2.5881930531929497e-05, 8.918981826359611e-05]","[2.657706205205575, 2.7477283264727337, 2.7273645106583686, 2.617365601007713, 2.5300444187152222, 2.5379441073929514, 0.0, 0.0, 0.0]",0,0.0
"[9.454943352124968e-06, 1.8425970071900586e-05, 1.567935893720494e-05, 2.5568159701470133e-05, 5.584762494193971e-05, 2.6486995209046138e-05, 3.1008640275511726e-05, 1.8832897691416836e-05, 8.528320958160594e-05]","[2.6041615624178505, 2.657706205205575, 2.7477283264727337, 2.677404645627564, 2.5034831198948027, 2.5452981447572287, 2.53134765243693, 0.0, 0.0]",0,0.0
"[2.278033718729666e-06, 9.454943352124968e-06, 1.8425970071900586e-05, 2.2861931561681876e-05, 5.155241512718494e-05, 3.2645654356550393e-05, 3.567240434436154e-05, 1.7633900766468646e-05, 8.332022437023158e-05]","[2.613297548351278, 2.6041615624178505, 2.657706205205575, 2.7273645106583686, 2.53224553560196, 2.562126926258172, 2.478350767309748, 0.0, 0.0]",0,0.0
"[-2.8314511291243283e-06, 2.278033718729666e-06, 9.454943352124968e-06, 1.567935893720494e-05, 4.120782995628624e-05, 4.030153973896234e-05, 4.4087354471589925e-05, 2.867304103914014e-05, 8.606415324205729e-05]","[2.6377036054509144, 2.613297548351278, 2.6041615624178505, 2.7477283264727337, 2.58835507881946, 2.5847974742772877, 2.354105677040718, 0.0, 0.0]",0,0.0
"[-8.128895766763828e-06, -2.8314511291243283e-06, 2.278033718729666e-06, 1.8425970071900586e-05, 2.9298184894913375e-05, 4.712749546421469e-05, 5.271440794812355e-05, 3.0434650484559236e-05, 8.817398162518757e-05]","[2.671044253128312, 2.6377036054509144, 2.613297548351278, 2.657706205205575, 2.617365601007713, 2.530819318830754, 2.4785929439102623, 0.0, 0.0]",0,0.0
"[-1.697707363000028e-05, -8.128895766763828e-06, -2.8314511291243283e-06, 9.454943352124968e-06, 2.5568159701470133e-05, 5.3916962187847535e-05, 5.2203366552127316e-05, 2.2692984940998456e-05, 8.862108760776199e-05]","[2.7578889736933374, 2.671044253128312, 2.6377036054509144, 2.6041615624178505, 2.677404645627564, 2.5347303337673006, 2.5187292883091765, 0.0, 0.0]",0,0.0
"[-2.2558502856970585e-05, -1.697707363000028e-05, -8.128895766763828e-06, 2.278033718729666e-06, 2.2861931561681876e-05, 5.9528999525418104e-05, 5.827521386212672e-05, 2.825441438237363e-05, 8.069174463194301e-05]","[2.8876469614739313, 2.7578889736933374, 2.671044253128312, 2.613297548351278, 2.7273645106583686, 2.5469993555437047, 2.5242335018992588, 0.0, 0.0]",0,0.0
