LTd_history,itv_LT,itv_LL,anm_develop_time
"[-4.55762013e-04 -4.32029675e-04 -4.24383252e-04 -3.64354118e-04
 -1.91664632e-04 -1.05567723e-05 -8.17597934e-05  1.50478990e-04]",-0.015040581141521379,-0.0,0
"[-4.49134769e-04 -4.55762013e-04 -4.32029675e-04 -3.99123742e-04
 -2.21672392e-04  8.74148295e-06 -6.38057145e-05  1.11259378e-04]",-0.015040581141521379,-0.015040581141521379,1
"[-4.37664669e-04 -4.49134769e-04 -4.55762013e-04 -4.24383252e-04
 -2.65511141e-04 -3.27326783e-05 -1.04326235e-04  6.73208011e-05]",-0.015040581141521379,-0.030081162283042757,2
"[-4.22891894e-04 -4.37664669e-04 -4.49134769e-04 -4.32029675e-04
 -3.15950158e-04 -1.00186691e-04 -1.53550394e-04  2.93439471e-05]",-0.015040581141521379,-0.04512174342456414,3
"[-4.03853268e-04 -4.22891894e-04 -4.37664669e-04 -4.55762013e-04
 -3.64354118e-04 -1.61083142e-04 -1.90115066e-04  3.39899570e-05]",-0.015040581141521379,-0.060162324566085515,4
"[-3.88799082e-04 -4.03853268e-04 -4.22891894e-04 -4.49134769e-04
 -3.99123742e-04 -1.86107031e-04 -1.94180585e-04  3.01805207e-05]",-0.015040581141521379,-0.07520290570760689,5
"[-3.98957501e-04 -3.88799082e-04 -4.03853268e-04 -4.37664669e-04
 -4.24383252e-04 -1.78044703e-04 -2.03120793e-04  1.81252202e-06]",-0.015040581141521379,-0.09024348684912828,6
"[-4.26182424e-04 -3.98957501e-04 -3.88799082e-04 -4.22891894e-04
 -4.32029675e-04 -1.89424467e-04 -2.18549110e-04 -4.13973410e-05]",-0.015040581141521379,-0.10528406799064965,7
"[-4.61102599e-04 -4.26182424e-04 -3.98957501e-04 -4.03853268e-04
 -4.55762013e-04 -1.91664632e-04 -1.92912766e-04 -4.86102414e-05]",-0.015040581141521379,-0.12032464913217103,8
"[-5.10045390e-04 -4.61102599e-04 -4.26182424e-04 -3.88799082e-04
 -4.49134769e-04 -2.21672392e-04 -1.69236057e-04 -5.27372906e-05]",-0.015040581141521379,-0.1353652302736924,9
"[-5.44903680e-04 -5.10045390e-04 -4.61102599e-04 -3.98957501e-04
 -4.37664669e-04 -2.65511141e-04 -1.53001766e-04 -5.84568508e-05]",-0.015040581141521379,-0.15040581141521378,10
"[-5.78014318e-04 -5.44903680e-04 -5.10045390e-04 -4.26182424e-04
 -4.22891894e-04 -3.15950158e-04 -1.40923674e-04 -6.12125174e-05]",-0.015040581141521379,-0.16544639255673516,11
