LTd_history,itv_LT,itv_LL,anm_develop_time,p_anm
"[-6.63758872924404e-05, -5.38282949277523e-05, -5.492012639916302e-05, -4.035201454304659e-05, -4.4635803875618614e-05, -3.479909415944573e-05, -7.244863240697337e-05, -5.763340881107943e-05]",0.0,0.0,0.0,0.0
"[-5.505779155269757e-05, -6.63758872924404e-05, -5.38282949277523e-05, -5.2752153552060294e-05, -4.909483555743436e-05, -4.137315352723433e-05, -7.141833233218429e-05, -5.840567567858842e-05]",0.0,0.0,0.0,0.0
"[-4.653785448744491e-05, -5.505779155269757e-05, -6.63758872924404e-05, -5.492012639916302e-05, -4.6340587261798164e-05, -3.7718211394713854e-05, -7.845681145029283e-05, -6.245460065896181e-05]",0.0,0.0,0.0,0.0
"[-4.32742052920118e-05, -4.653785448744491e-05, -5.505779155269757e-05, -5.38282949277523e-05, -4.703690845254306e-05, -3.748345476317182e-05, -7.977991189330147e-05, -5.395291295686876e-05]",0.0,0.0,0.0,0.0
"[-4.8793993912857736e-05, -4.32742052920118e-05, -4.653785448744491e-05, -6.63758872924404e-05, -4.035201454304659e-05, -3.85387470728864e-05, -7.153395055125257e-05, -6.314108652747092e-05]",0.0,0.0,0.0,0.0
"[-5.065346431910824e-05, -4.8793993912857736e-05, -4.32742052920118e-05, -5.505779155269757e-05, -5.2752153552060294e-05, -4.099173108206968e-05, -7.286281592426745e-05, -6.362403048585662e-05]",0.0,0.0,0.0,0.0
"[-3.9815789716488035e-05, -5.065346431910824e-05, -4.8793993912857736e-05, -4.653785448744491e-05, -5.492012639916302e-05, -3.7508857355586456e-05, -7.035564529066838e-05, -6.674481288500473e-05]",0.0,0.0,0.0,0.0
"[-4.10710490460269e-05, -3.9815789716488035e-05, -5.065346431910824e-05, -4.32742052920118e-05, -5.38282949277523e-05, -3.7797121624773984e-05, -6.784579963308246e-05, -6.590315826588576e-05]",0.0,0.0,0.0,0.0
"[-3.839181768122547e-05, -4.10710490460269e-05, -3.9815789716488035e-05, -4.8793993912857736e-05, -6.63758872924404e-05, -4.4635803875618614e-05, -7.069003318128846e-05, -7.348557092024937e-05]",0.0,0.0,0.0,0.0
"[-2.93397953590685e-05, -3.839181768122547e-05, -4.10710490460269e-05, -5.065346431910824e-05, -5.505779155269757e-05, -4.909483555743436e-05, -6.416119862985274e-05, -6.237254528676201e-05]",0.0,0.0,0.0,0.0
"[-2.864254202176274e-05, -2.93397953590685e-05, -3.839181768122547e-05, -3.9815789716488035e-05, -4.653785448744491e-05, -4.6340587261798164e-05, -6.13048341744691e-05, -6.350421326661824e-05]",0.0,0.0,0.0,0.0
"[-2.6860538414672605e-05, -2.864254202176274e-05, -2.93397953590685e-05, -4.10710490460269e-05, -4.32742052920118e-05, -4.703690845254306e-05, -5.958032549076389e-05, -6.139873273578063e-05]",0.0,0.0,0.0,0.0
"[-2.622647315069335e-05, -2.6860538414672605e-05, -2.864254202176274e-05, -3.839181768122547e-05, -4.8793993912857736e-05, -4.035201454304659e-05, -5.635941610756045e-05, -5.8661813370789645e-05]",0.0,0.0,0.0,0.0
"[-2.6970011256937288e-05, -2.622647315069335e-05, -2.6860538414672605e-05, -2.93397953590685e-05, -5.065346431910824e-05, -5.2752153552060294e-05, -5.1246644327650374e-05, -5.6851342614418e-05]",0.0,0.0,0.0,0.0
