LTd_history,itv_LT,itv_LL,anm_develop_time,p_anm
"[-0.00013375842568002407, -0.00014317882138138488, -0.000147895878817669, -0.00013648234419795624, -0.0001356255644064956, -0.00017843709116973304, -0.00016424848068820046, -0.00013797439613238922]",0.0,0.0,0.0,0.0
"[-0.00012499863789967042, -0.00013375842568002407, -0.00014317882138138488, -0.00013796221654993523, -0.00013672605241533433, -0.00017249492781920618, -0.00016735377269811732, -0.00013526260999591715]",0.0,0.0,0.0,0.0
"[-0.00011719872717686223, -0.00012499863789967042, -0.00013375842568002407, -0.000147895878817669, -0.00013655987150329552, -0.00017394484468388736, -0.00016854690702174923, -0.00013580483598600116]",0.0,0.0,0.0,0.0
"[-0.0001102802761455894, -0.00011719872717686223, -0.00012499863789967042, -0.00014317882138138488, -0.00013528194408039208, -0.00017700314762554418, -0.00016956830591056626, -0.00013743824444250268]",0.0,0.0,0.0,0.0
"[-0.00010265614109944752, -0.0001102802761455894, -0.00011719872717686223, -0.00013375842568002407, -0.00013648234419795624, -0.00016413517534074473, -0.00017411405557673522, -0.00014060883542979806]",0.0,0.0,0.0,0.0
"[-0.00010135221961887333, -0.00010265614109944752, -0.0001102802761455894, -0.00012499863789967042, -0.00013796221654993523, -0.00014702343971957226, -0.0001795492162194536, -0.00014208000183010334]",0.0,0.0,0.0,0.0
"[-0.00010126789606168018, -0.00010135221961887333, -0.00010265614109944752, -0.00011719872717686223, -0.000147895878817669, -0.0001395194535734464, -0.00018372588034732697, -0.00014450406166534855]",0.0,0.0,0.0,0.0
"[-0.00010418003755560935, -0.00010126789606168018, -0.00010135221961887333, -0.0001102802761455894, -0.00014317882138138488, -0.00013497487628723171, -0.00018742553484519812, -0.00014638111457215608]",0.0,0.0,0.0,0.0
"[-0.00010477973398482807, -0.00010418003755560935, -0.00010126789606168018, -0.00010265614109944752, -0.00013375842568002407, -0.0001356255644064956, -0.00019155844675542726, -0.00014950382515330253]",0.0,0.0,0.0,0.0
"[-0.00010481210164615041, -0.00010477973398482807, -0.00010418003755560935, -0.00010135221961887333, -0.00012499863789967042, -0.00013672605241533433, -0.00019118165553783667, -0.000155265839228897]",0.0,0.0,0.0,0.0
"[-9.394984612607379e-05, -0.00010481210164615041, -0.00010477973398482807, -0.00010126789606168018, -0.00011719872717686223, -0.00013655987150329552, -0.00018828232932168335, -0.00016086320888596736]",0.0,0.0,0.0,0.0
"[-7.55026454905341e-05, -9.394984612607379e-05, -0.00010481210164615041, -0.00010418003755560935, -0.0001102802761455894, -0.00013528194408039208, -0.00018163787977179273, -0.00016791903000441664]",0.0,0.0,0.0,0.0
"[-6.0364508120137146e-05, -7.55026454905341e-05, -9.394984612607379e-05, -0.00010477973398482807, -0.00010265614109944752, -0.00013648234419795624, -0.00017982093765222122, -0.00017247138082451545]",0.0,0.0,0.0,0.0
"[-4.942711479907401e-05, -6.0364508120137146e-05, -7.55026454905341e-05, -0.00010481210164615041, -0.00010135221961887333, -0.00013796221654993523, -0.00017572829874381435, -0.00017541038119043293]",0.0,0.0,0.0,0.0
"[-3.4893404278925244e-05, -4.942711479907401e-05, -6.0364508120137146e-05, -9.394984612607379e-05, -0.00010126789606168018, -0.000147895878817669, -0.00017795151681370932, -0.00016860352372332667]",0.0,0.0,0.0,0.0
"[-3.423788444532369e-05, -3.4893404278925244e-05, -4.942711479907401e-05, -7.55026454905341e-05, -0.00010418003755560935, -0.00014317882138138488, -0.0001781812635420218, -0.00016599954843475896]",0.0,0.0,0.0,0.0
"[-2.8327062803468828e-05, -3.423788444532369e-05, -3.4893404278925244e-05, -6.0364508120137146e-05, -0.00010477973398482807, -0.00013375842568002407, -0.00017843709116973304, -0.0001673347050578757]",0.0,0.0,0.0,0.0
"[-2.688003743712471e-05, -2.8327062803468828e-05, -3.423788444532369e-05, -4.942711479907401e-05, -0.00010481210164615041, -0.00012499863789967042, -0.00017249492781920618, -0.00016525523949679016]",0.0,0.0,0.0,0.0
"[-2.3709718713561002e-05, -2.688003743712471e-05, -2.8327062803468828e-05, -3.4893404278925244e-05, -9.394984612607379e-05, -0.00011719872717686223, -0.00017394484468388736, -0.0001565062161584896]",0.0,0.0,0.0,0.0
"[-2.080039485880813e-05, -2.3709718713561002e-05, -2.688003743712471e-05, -3.423788444532369e-05, -7.55026454905341e-05, -0.0001102802761455894, -0.00017700314762554418, -0.0001490825369469962]",0.0,0.0,0.0,0.0
"[-1.1803755557698025e-05, -2.080039485880813e-05, -2.3709718713561002e-05, -2.8327062803468828e-05, -6.0364508120137146e-05, -0.00010265614109944752, -0.00016413517534074473, -0.00014057150339974122]",0.0,0.0,0.0,0.0
"[-3.982972377575898e-06, -1.1803755557698025e-05, -2.080039485880813e-05, -2.688003743712471e-05, -4.942711479907401e-05, -0.00010135221961887333, -0.00014702343971957226, -0.00013494027568962093]",0.0,0.0,0.0,0.0
"[3.471415097661821e-06, -3.982972377575898e-06, -1.1803755557698025e-05, -2.3709718713561002e-05, -3.4893404278925244e-05, -0.00010126789606168018, -0.0001395194535734464, -0.0001281813954314906]",0.0,0.0,0.0,0.0
"[-1.8522640333296994e-06, 3.471415097661821e-06, -3.982972377575898e-06, -2.080039485880813e-05, -3.423788444532369e-05, -0.00010418003755560935, -0.00013497487628723171, -0.0001299702806384535]",0.0,0.0,0.0,0.0
"[-4.127484477179827e-06, -1.8522640333296994e-06, 3.471415097661821e-06, -1.1803755557698025e-05, -2.8327062803468828e-05, -0.00010477973398482807, -0.0001356255644064956, -0.00013118549874466617]",0.0,0.0,0.0,0.0
"[-5.992092939417135e-06, -4.127484477179827e-06, -1.8522640333296994e-06, -3.982972377575898e-06, -2.688003743712471e-05, -0.00010481210164615041, -0.00013672605241533433, -0.00013661906629905537]",0.0,0.0,0.0,0.0
"[-9.037968667051038e-06, -5.992092939417135e-06, -4.127484477179827e-06, 3.471415097661821e-06, -2.3709718713561002e-05, -9.394984612607379e-05, -0.00013655987150329552, -0.00013847177992410003]",0.0,0.0,0.0,0.0
"[-1.5804698868189224e-05, -9.037968667051038e-06, -5.992092939417135e-06, -1.8522640333296994e-06, -2.080039485880813e-05, -7.55026454905341e-05, -0.00013528194408039208, -0.00014291943154051947]",0.0,0.0,0.0,0.0
"[-1.4599519576806782e-05, -1.5804698868189224e-05, -9.037968667051038e-06, -4.127484477179827e-06, -1.1803755557698025e-05, -6.0364508120137146e-05, -0.00013648234419795624, -0.00014536032131170582]",0.0,0.0,0.0,0.0
"[-1.6383852297648146e-05, -1.4599519576806782e-05, -1.5804698868189224e-05, -5.992092939417135e-06, -3.982972377575898e-06, -4.942711479907401e-05, -0.00013796221654993523, -0.0001512844657019764]",0.0,0.0,0.0,0.0
"[-1.143502633206584e-05, -1.6383852297648146e-05, -1.4599519576806782e-05, -9.037968667051038e-06, 3.471415097661821e-06, -3.4893404278925244e-05, -0.000147895878817669, -0.00015568265324542531]",0.0,0.0,0.0,0.0
"[-6.779407208675735e-06, -1.143502633206584e-05, -1.6383852297648146e-05, -1.5804698868189224e-05, -1.8522640333296994e-06, -3.423788444532369e-05, -0.00014317882138138488, -0.00016545886839641158]",0.0,0.0,0.0,0.0
"[-4.573584256821104e-06, -6.779407208675735e-06, -1.143502633206584e-05, -1.4599519576806782e-05, -4.127484477179827e-06, -2.8327062803468828e-05, -0.00013375842568002407, -0.00016424848068820046]",0.0,0.0,0.0,0.0
"[-3.1010557949261393e-06, -4.573584256821104e-06, -6.779407208675735e-06, -1.6383852297648146e-05, -5.992092939417135e-06, -2.688003743712471e-05, -0.00012499863789967042, -0.00016735377269811732]",0.0,0.0,0.0,0.0
"[-5.865687887394218e-06, -3.1010557949261393e-06, -4.573584256821104e-06, -1.143502633206584e-05, -9.037968667051038e-06, -2.3709718713561002e-05, -0.00011719872717686223, -0.00016854690702174923]",0.0,0.0,0.0,0.0
"[-8.6324495013538e-06, -5.865687887394218e-06, -3.1010557949261393e-06, -6.779407208675735e-06, -1.5804698868189224e-05, -2.080039485880813e-05, -0.0001102802761455894, -0.00016956830591056626]",0.0,0.0,0.0,0.0
"[-1.0962996190192614e-05, -8.6324495013538e-06, -5.865687887394218e-06, -4.573584256821104e-06, -1.4599519576806782e-05, -1.1803755557698025e-05, -0.00010265614109944752, -0.00017411405557673522]",0.0,0.0,0.0,0.0
"[-1.2026169425160987e-05, -1.0962996190192614e-05, -8.6324495013538e-06, -3.1010557949261393e-06, -1.6383852297648146e-05, -3.982972377575898e-06, -0.00010135221961887333, -0.0001795492162194536]",0.0,0.0,0.0,0.0
"[-1.3359696187668836e-05, -1.2026169425160987e-05, -1.0962996190192614e-05, -5.865687887394218e-06, -1.143502633206584e-05, 3.471415097661821e-06, -0.00010126789606168018, -0.00018372588034732697]",0.0,0.0,0.0,0.0
"[-2.2749259714569964e-05, -1.3359696187668836e-05, -1.2026169425160987e-05, -8.6324495013538e-06, -6.779407208675735e-06, -1.8522640333296994e-06, -0.00010418003755560935, -0.00018742553484519812]",0.0,0.0,0.0,0.0
"[-1.7521975105222506e-05, -2.2749259714569964e-05, -1.3359696187668836e-05, -1.0962996190192614e-05, -4.573584256821104e-06, -4.127484477179827e-06, -0.00010477973398482807, -0.00019155844675542726]",0.0,0.0,0.0,0.0
"[-9.770376826491207e-06, -1.7521975105222506e-05, -2.2749259714569964e-05, -1.2026169425160987e-05, -3.1010557949261393e-06, -5.992092939417135e-06, -0.00010481210164615041, -0.00019118165553783667]",0.0,0.0,0.0,0.0
"[-6.409619084295606e-06, -9.770376826491207e-06, -1.7521975105222506e-05, -1.3359696187668836e-05, -5.865687887394218e-06, -9.037968667051038e-06, -9.394984612607379e-05, -0.00018828232932168335]",0.0,0.0,0.0,0.0
"[6.399412117184492e-07, -6.409619084295606e-06, -9.770376826491207e-06, -2.2749259714569964e-05, -8.6324495013538e-06, -1.5804698868189224e-05, -7.55026454905341e-05, -0.00018163787977179273]",0.0,0.0,0.0,0.0
"[9.550886386585173e-07, 6.399412117184492e-07, -6.409619084295606e-06, -1.7521975105222506e-05, -1.0962996190192614e-05, -1.4599519576806782e-05, -6.0364508120137146e-05, -0.00017982093765222122]",0.0,0.0,0.0,0.0
"[-4.51865313600561e-06, 9.550886386585173e-07, 6.399412117184492e-07, -9.770376826491207e-06, -1.2026169425160987e-05, -1.6383852297648146e-05, -4.942711479907401e-05, -0.00017572829874381435]",0.0,0.0,0.0,0.0
"[-2.3470987724138117e-06, -4.51865313600561e-06, 9.550886386585173e-07, -6.409619084295606e-06, -1.3359696187668836e-05, -1.143502633206584e-05, -3.4893404278925244e-05, -0.00017795151681370932]",0.0,0.0,0.0,0.0
"[3.0120419816105154e-06, -2.3470987724138117e-06, -4.51865313600561e-06, 6.399412117184492e-07, -2.2749259714569964e-05, -6.779407208675735e-06, -3.423788444532369e-05, -0.0001781812635420218]",0.0,0.0,0.0,0.0
"[-2.197701865319915e-06, 3.0120419816105154e-06, -2.3470987724138117e-06, 9.550886386585173e-07, -1.7521975105222506e-05, -4.573584256821104e-06, -2.8327062803468828e-05, -0.00017843709116973304]",0.0,0.0,0.0,0.0
"[-6.7243165556005245e-06, -2.197701865319915e-06, 3.0120419816105154e-06, -4.51865313600561e-06, -9.770376826491207e-06, -3.1010557949261393e-06, -2.688003743712471e-05, -0.00017249492781920618]",0.010709871179451672,0.0,0.0,0.002036313047954835
"[-2.6186444180202774e-05, -6.7243165556005245e-06, -2.197701865319915e-06, -2.3470987724138117e-06, -6.409619084295606e-06, -5.865687887394218e-06, -2.3709718713561002e-05, -0.00017394484468388736]",0.010709871179451672,0.010709871179451672,1.0,0.002039246250998933
"[-2.993324222353432e-05, -2.6186444180202774e-05, -6.7243165556005245e-06, 3.0120419816105154e-06, 6.399412117184492e-07, -8.6324495013538e-06, -2.080039485880813e-05, -0.00017700314762554418]",0.010709871179451672,0.021419742358903343,2.0,0.0019991751218363207
"[-3.182221314569992e-05, -2.993324222353432e-05, -2.6186444180202774e-05, -2.197701865319915e-06, 9.550886386585173e-07, -1.0962996190192614e-05, -1.1803755557698025e-05, -0.00016413517534074473]",0.010709871179451672,0.032129613538355015,3.0,0.0019836648353485356
"[-2.6271686930627316e-05, -3.182221314569992e-05, -2.993324222353432e-05, -6.7243165556005245e-06, -4.51865313600561e-06, -1.2026169425160987e-05, -3.982972377575898e-06, -0.00014702343971957226]",0.010709871179451672,0.042839484717806686,4.0,0.001968526878237645
"[-1.9844512113579928e-05, -2.6271686930627316e-05, -3.182221314569992e-05, -2.6186444180202774e-05, -2.3470987724138117e-06, -1.3359696187668836e-05, 3.471415097661821e-06, -0.0001395194535734464]",0.010709871179451672,0.05354935589725836,5.0,0.0019965312951794986
"[-8.492880988622131e-06, -1.9844512113579928e-05, -2.6271686930627316e-05, -2.993324222353432e-05, 3.0120419816105154e-06, -2.2749259714569964e-05, -1.8522640333296994e-06, -0.00013497487628723171]",0.010709871179451672,0.06425922707671003,6.0,0.002053783492216257
"[3.7612953880937357e-06, -8.492880988622131e-06, -1.9844512113579928e-05, -3.182221314569992e-05, -2.197701865319915e-06, -1.7521975105222506e-05, -4.127484477179827e-06, -0.0001356255644064956]",0.010709871179451672,0.0749690982561617,7.0,0.002090103461965657
"[1.4458494777047947e-05, 3.7612953880937357e-06, -8.492880988622131e-06, -2.6271686930627316e-05, -6.7243165556005245e-06, -9.770376826491207e-06, -5.992092939417135e-06, -0.00013672605241533433]",0.010709871179451672,0.08567896943561337,8.0,0.0021664989324750666
"[1.879066687795843e-05, 1.4458494777047947e-05, 3.7612953880937357e-06, -1.9844512113579928e-05, -2.6186444180202774e-05, -6.409619084295606e-06, -9.037968667051038e-06, -0.00013655987150329552]",0.010709871179451672,0.09638884061506504,9.0,0.002235319380540976
"[2.889512973377365e-05, 1.879066687795843e-05, 1.4458494777047947e-05, -8.492880988622131e-06, -2.993324222353432e-05, 6.399412117184492e-07, -1.5804698868189224e-05, -0.00013528194408039208]",0.010709871179451672,0.10709871179451672,10.0,0.0021657578540813208
"[3.5225728513085716e-05, 2.889512973377365e-05, 1.879066687795843e-05, 3.7612953880937357e-06, -3.182221314569992e-05, 9.550886386585173e-07, -1.4599519576806782e-05, -0.00013648234419795624]",0.010709871179451672,0.11780858297396839,11.0,0.002070053675345922
"[2.8945816839372795e-05, 3.5225728513085716e-05, 2.889512973377365e-05, 1.4458494777047947e-05, -2.6271686930627316e-05, -4.51865313600561e-06, -1.6383852297648146e-05, -0.00013796221654993523]",0.010709871179451672,0.12851845415342006,12.0,0.0021098459584204528
"[1.6615894282878784e-05, 2.8945816839372795e-05, 3.5225728513085716e-05, 1.879066687795843e-05, -1.9844512113579928e-05, -2.3470987724138117e-06, -1.143502633206584e-05, -0.000147895878817669]",0.010709871179451672,0.13922832533287172,13.0,0.002130418351778993
"[2.182508987879786e-05, 1.6615894282878784e-05, 2.8945816839372795e-05, 2.889512973377365e-05, -8.492880988622131e-06, 3.0120419816105154e-06, -6.779407208675735e-06, -0.00014317882138138488]",0.010709871179451672,0.1499381965123234,14.0,0.002156538267835328
"[2.421827091742628e-05, 2.182508987879786e-05, 1.6615894282878784e-05, 3.5225728513085716e-05, 3.7612953880937357e-06, -2.197701865319915e-06, -4.573584256821104e-06, -0.00013375842568002407]",0.010709871179451672,0.1606480676917751,15.0,0.002130353494916664
"[2.7229539345503293e-05, 2.421827091742628e-05, 2.182508987879786e-05, 2.8945816839372795e-05, 1.4458494777047947e-05, -6.7243165556005245e-06, -3.1010557949261393e-06, -0.00012499863789967042]",0.010709871179451672,0.17135793887122674,16.0,0.002151776599864303
"[2.4087406680919773e-05, 2.7229539345503293e-05, 2.421827091742628e-05, 1.6615894282878784e-05, 1.879066687795843e-05, -2.6186444180202774e-05, -5.865687887394218e-06, -0.00011719872717686223]",0.010709871179451672,0.1820678100506784,17.0,0.0021846555149851368
"[2.6474393279360264e-05, 2.4087406680919773e-05, 2.7229539345503293e-05, 2.182508987879786e-05, 2.889512973377365e-05, -2.993324222353432e-05, -8.6324495013538e-06, -0.0001102802761455894]",0.010709871179451672,0.1927776812301301,18.0,0.0022669040490364196
"[3.006949594141831e-05, 2.6474393279360264e-05, 2.4087406680919773e-05, 2.421827091742628e-05, 3.5225728513085716e-05, -3.182221314569992e-05, -1.0962996190192614e-05, -0.00010265614109944752]",0.010709871179451672,0.20348755240958177,19.0,0.002350822264072679
"[3.788255371013359e-05, 3.006949594141831e-05, 2.6474393279360264e-05, 2.7229539345503293e-05, 2.8945816839372795e-05, -2.6271686930627316e-05, -1.2026169425160987e-05, -0.00010135221961887333]",0.010709871179451672,0.21419742358903343,20.0,0.0023280800463351793
"[4.436979267127927e-05, 3.788255371013359e-05, 3.006949594141831e-05, 2.4087406680919773e-05, 1.6615894282878784e-05, -1.9844512113579928e-05, -1.3359696187668836e-05, -0.00010126789606168018]",0.010709871179451672,0.2249072947684851,21.0,0.002360076118903224
"[4.313394519573794e-05, 4.436979267127927e-05, 3.788255371013359e-05, 2.6474393279360264e-05, 2.182508987879786e-05, -8.492880988622131e-06, -2.2749259714569964e-05, -0.00010418003755560935]",0.010709871179451672,0.23561716594793677,22.0,0.002444813940066961
"[4.523152812335373e-05, 4.313394519573794e-05, 4.436979267127927e-05, 3.006949594141831e-05, 2.421827091742628e-05, 3.7612953880937357e-06, -1.7521975105222506e-05, -0.00010477973398482807]",0.010709871179451672,0.24632703712738846,23.0,0.0025330084678896504
"[5.0691829495874745e-05, 4.523152812335373e-05, 4.313394519573794e-05, 3.788255371013359e-05, 2.7229539345503293e-05, 1.4458494777047947e-05, -9.770376826491207e-06, -0.00010481210164615041]",0.010709871179451672,0.2570369083068401,24.0,0.002979077263219098
"[5.5859268793534985e-05, 5.0691829495874745e-05, 4.523152812335373e-05, 4.436979267127927e-05, 2.4087406680919773e-05, 1.879066687795843e-05, -6.409619084295606e-06, -9.394984612607379e-05]",0.010709871179451672,0.2677467794862918,25.0,0.003581073747116586
"[7.50965560540533e-05, 5.5859268793534985e-05, 5.0691829495874745e-05, 4.313394519573794e-05, 2.6474393279360264e-05, 2.889512973377365e-05, 6.399412117184492e-07, -7.55026454905341e-05]",0.010709871179451672,0.27845665066574343,26.0,0.00493035001063081
"[9.281296889746289e-05, 7.50965560540533e-05, 5.5859268793534985e-05, 4.523152812335373e-05, 3.006949594141831e-05, 3.5225728513085716e-05, 9.550886386585173e-07, -6.0364508120137146e-05]",0.010709871179451672,0.28916652184519515,27.0,0.006280767427505112
"[0.00011779529959474427, 9.281296889746289e-05, 7.50965560540533e-05, 5.0691829495874745e-05, 3.788255371013359e-05, 2.8945816839372795e-05, -4.51865313600561e-06, -4.942711479907401e-05]",0.010709871179451672,0.2998763930246468,28.0,0.007014723428043147
"[0.00013492436783528962, 0.00011779529959474427, 9.281296889746289e-05, 5.5859268793534985e-05, 4.436979267127927e-05, 1.6615894282878784e-05, -2.3470987724138117e-06, -3.4893404278925244e-05]",0.010709871179451672,0.31058626420409846,29.0,0.007038338911329405
"[0.00014301293658602372, 0.00013492436783528962, 0.00011779529959474427, 7.50965560540533e-05, 4.313394519573794e-05, 2.182508987879786e-05, 3.0120419816105154e-06, -3.423788444532369e-05]",0.010709871179451672,0.3212961353835502,30.0,0.008439986583144004
"[0.0001442862078445413, 0.00014301293658602372, 0.00013492436783528962, 9.281296889746289e-05, 4.523152812335373e-05, 2.421827091742628e-05, -2.197701865319915e-06, -2.8327062803468828e-05]",0.010709871179451672,0.33200600656300183,31.0,0.006674066500275845
"[0.00015388360332919222, 0.0001442862078445413, 0.00014301293658602372, 0.00011779529959474427, 5.0691829495874745e-05, 2.7229539345503293e-05, -6.7243165556005245e-06, -2.688003743712471e-05]",0.010709871179451672,0.3427158777424535,32.0,0.005310197856892386
