LTd_history,itv_LT,itv_LL,anm_develop_time,p_anm
"[-1.06830647601277e-05, -1.0700675148001024e-05, -1.0086223790379055e-05, -8.569823674572011e-06, -7.803349150714901e-06, -6.735874130524231e-06, -9.0108518702557e-06, -9.472665281988021e-06]",0.0,0.0,0.0,0.0
"[-1.1555251699069561e-05, -1.06830647601277e-05, -1.0700675148001024e-05, -1.0001913797734499e-05, -7.503667428057789e-06, -6.151506077529631e-06, -9.844853394729521e-06, -9.330965700217238e-06]",0.0,0.0,0.0,0.0
"[-1.1376878459185312e-05, -1.1555251699069561e-05, -1.06830647601277e-05, -1.0086223790379055e-05, -7.391036180121333e-06, -5.5961635416669974e-06, -1.0740776370748245e-05, -1.063819088270396e-05]",0.0,0.0,0.0,0.0
"[-9.703173751944427e-06, -1.1376878459185312e-05, -1.1555251699069561e-05, -1.0700675148001024e-05, -7.612306633293715e-06, -6.228211326288758e-06, -1.0743784033536152e-05, -1.1105761482317558e-05]",0.0,0.0,0.0,0.0
"[-8.913802210320654e-06, -9.703173751944427e-06, -1.1376878459185312e-05, -1.06830647601277e-05, -8.569823674572011e-06, -6.591126120060714e-06, -1.0722981154660161e-05, -1.1614029663252121e-05]",0.0,0.0,0.0,0.0
"[-7.162666739933832e-06, -8.913802210320654e-06, -9.703173751944427e-06, -1.1555251699069561e-05, -1.0001913797734499e-05, -7.310873270124391e-06, -1.023895302650177e-05, -1.2457584031111861e-05]",0.0,0.0,0.0,0.0
"[-4.929922011806726e-06, -7.162666739933832e-06, -8.913802210320654e-06, -1.1376878459185312e-05, -1.0086223790379055e-05, -7.214052849370661e-06, -9.211644508675611e-06, -1.2353021151586645e-05]",0.0,0.0,0.0,0.0
"[-2.910267023707981e-06, -4.929922011806726e-06, -7.162666739933832e-06, -9.703173751944427e-06, -1.0700675148001024e-05, -8.879621503978566e-06, -8.029563227783953e-06, -1.2124248229369452e-05]",0.0,0.0,0.0,0.0
"[-1.9587424133478955e-06, -2.910267023707981e-06, -4.929922011806726e-06, -8.913802210320654e-06, -1.06830647601277e-05, -7.803349150714901e-06, -7.334299791427963e-06, -1.1072206358655622e-05]",0.0,0.0,0.0,0.0
"[-5.543620798632048e-07, -1.9587424133478955e-06, -2.910267023707981e-06, -7.162666739933832e-06, -1.1555251699069561e-05, -7.503667428057789e-06, -6.820450814185797e-06, -1.112505615904721e-05]",0.0,0.0,0.0,0.0
"[1.5564813116192373e-07, -5.543620798632048e-07, -1.9587424133478955e-06, -4.929922011806726e-06, -1.1376878459185312e-05, -7.391036180121333e-06, -6.488216768645429e-06, -1.0642502658961396e-05]",0.0,0.0,0.0,0.0
"[-1.5965045868547191e-06, 1.5564813116192373e-07, -5.543620798632048e-07, -2.910267023707981e-06, -9.703173751944427e-06, -7.612306633293715e-06, -6.754698507866054e-06, -1.000475230926298e-05]",0.0,0.0,0.0,0.0
"[-5.095391940524113e-07, -1.5965045868547191e-06, 1.5564813116192373e-07, -1.9587424133478955e-06, -8.913802210320654e-06, -8.569823674572011e-06, -7.55356648556792e-06, -9.069499738249955e-06]",0.0,0.0,0.0,0.0
"[-2.470781927107848e-06, -5.095391940524113e-07, -1.5965045868547191e-06, -5.543620798632048e-07, -7.162666739933832e-06, -1.0001913797734499e-05, -8.057620952183657e-06, -9.57309407178936e-06]",-0.00026144794143647505,-0.0,0.0,0.002001957249631865
"[-1.8328672666153342e-06, -2.470781927107848e-06, -5.095391940524113e-07, 1.5564813116192373e-07, -4.929922011806726e-06, -1.0086223790379055e-05, -8.099714242714751e-06, -9.718569797489593e-06]",-0.00026144794143647505,-0.00026144794143647505,1.0,0.0020359597628837544
"[-3.352769884328006e-06, -1.8328672666153342e-06, -2.470781927107848e-06, -1.5965045868547191e-06, -2.910267023707981e-06, -1.0700675148001024e-05, -7.6100004445886315e-06, -1.0073858384929056e-05]",-0.00026144794143647505,-0.0005228958828729501,2.0,0.001982351832878043
"[-2.4797575153508916e-06, -3.352769884328006e-06, -1.8328672666153342e-06, -5.095391940524113e-07, -1.9587424133478955e-06, -1.06830647601277e-05, -6.735874130524231e-06, -1.0080392401640998e-05]",-0.00026144794143647505,-0.0007843438243094251,3.0,0.0020572326340207382
"[-4.29887562215365e-06, -2.4797575153508916e-06, -3.352769884328006e-06, -2.470781927107848e-06, -5.543620798632048e-07, -1.1555251699069561e-05, -6.151506077529631e-06, -9.97824456825113e-06]",-0.00026144794143647505,-0.0010457917657459002,4.0,0.002114501262008805
"[-5.0551156848520176e-06, -4.29887562215365e-06, -2.4797575153508916e-06, -1.8328672666153342e-06, 1.5564813116192373e-07, -1.1376878459185312e-05, -5.5961635416669974e-06, -9.714316866070074e-06]",-0.00026144794143647505,-0.0013072397071823751,5.0,0.002379282491326006
"[-7.195687434939272e-06, -5.0551156848520176e-06, -4.29887562215365e-06, -3.352769884328006e-06, -1.5965045868547191e-06, -9.703173751944427e-06, -6.228211326288758e-06, -8.704744795138727e-06]",-0.00026144794143647505,-0.0015686876486188503,6.0,0.0024376930612016287
"[-7.53934277280761e-06, -7.195687434939272e-06, -5.0551156848520176e-06, -2.4797575153508916e-06, -5.095391940524113e-07, -8.913802210320654e-06, -6.591126120060714e-06, -7.701990680103207e-06]",-0.00026144794143647505,-0.0018301355900553254,7.0,0.0024420494157235224
"[-7.525299801615162e-06, -7.53934277280761e-06, -7.195687434939272e-06, -4.29887562215365e-06, -2.470781927107848e-06, -7.162666739933832e-06, -7.310873270124391e-06, -7.808650222795039e-06]",-0.00026144794143647505,-0.0020915835314918004,8.0,0.0022417105340141797
"[-6.1648438964025505e-06, -7.525299801615162e-06, -7.53934277280761e-06, -5.0551156848520176e-06, -1.8328672666153342e-06, -4.929922011806726e-06, -7.214052849370661e-06, -8.45515789247266e-06]",-0.00026144794143647505,-0.0023530314729282753,9.0,0.0022837298789639203
"[-6.510231017086123e-06, -6.1648438964025505e-06, -7.525299801615162e-06, -7.195687434939272e-06, -3.352769884328006e-06, -2.910267023707981e-06, -8.879621503978566e-06, -9.299721182585979e-06]",-0.00026144794143647505,-0.0026144794143647503,10.0,0.002255477451554594
"[-6.279823355260446e-06, -6.510231017086123e-06, -6.1648438964025505e-06, -7.53934277280761e-06, -2.4797575153508916e-06, -1.9587424133478955e-06, -7.803349150714901e-06, -9.95731989215672e-06]",-0.00026144794143647505,-0.0028759273558012256,11.0,0.0021210430958698056
"[-4.946739965077605e-06, -6.279823355260446e-06, -6.510231017086123e-06, -7.525299801615162e-06, -4.29887562215365e-06, -5.543620798632048e-07, -7.503667428057789e-06, -8.439407874201446e-06]",-0.00026144794143647505,-0.0031373752972377006,12.0,0.002109917049522641
"[-4.7879631042637234e-06, -4.946739965077605e-06, -6.279823355260446e-06, -6.1648438964025505e-06, -5.0551156848520176e-06, 1.5564813116192373e-07, -7.391036180121333e-06, -8.061682798678393e-06]",-0.00026144794143647505,-0.0033988232386741755,13.0,0.0020850817010882434
"[-4.430390082625755e-06, -4.7879631042637234e-06, -4.946739965077605e-06, -6.510231017086123e-06, -7.195687434939272e-06, -1.5965045868547191e-06, -7.612306633293715e-06, -8.095911231180582e-06]",-0.00026144794143647505,-0.003660271180110651,14.0,0.0020746355633521536
"[-4.372141944945241e-06, -4.430390082625755e-06, -4.7879631042637234e-06, -6.279823355260446e-06, -7.53934277280761e-06, -5.095391940524113e-07, -8.569823674572011e-06, -8.604149893917988e-06]",-0.00026144794143647505,-0.003921719121547125,15.0,0.0021050680951792797
"[-4.873455275611587e-06, -4.372141944945241e-06, -4.430390082625755e-06, -4.946739965077605e-06, -7.525299801615162e-06, -2.470781927107848e-06, -1.0001913797734499e-05, -8.391794137266744e-06]",-0.00026144794143647505,-0.004183167062983601,16.0,0.002222343441702879
"[-5.979926052740579e-06, -4.873455275611587e-06, -4.372141944945241e-06, -4.7879631042637234e-06, -6.1648438964025505e-06, -1.8328672666153342e-06, -1.0086223790379055e-05, -9.518277126820413e-06]",-0.00026144794143647505,-0.004444615004420076,17.0,0.002333231097780356
