LTd_history,itv_LT,itv_LL,anm_develop_time,p_anm
"[4.8689124781338265e-05, 3.611722511943658e-05, 3.7452538936315185e-05, 2.8770919768432103e-05, 2.000847401635505e-06, 6.633834675921606e-06, -6.955954391650075e-05, -3.94830413784838e-05]",0.0,0.0,0.0,0.0
"[3.77199066306313e-05, 4.8689124781338265e-05, 3.611722511943658e-05, 3.2632132596111644e-05, -7.581123348590442e-06, 9.532576573655236e-06, -8.499688550327293e-05, -3.168855321499276e-05]",0.0,0.0,0.0,0.0
"[4.2025042192609214e-05, 3.77199066306313e-05, 4.8689124781338265e-05, 3.7452538936315185e-05, 8.33848001585823e-06, 2.584258141468187e-06, -0.0001033078925314955, -2.923801423511403e-05]",0.0,0.0,0.0,0.0
"[2.890992121295978e-05, 4.2025042192609214e-05, 3.77199066306313e-05, 3.611722511943658e-05, 1.508481575065597e-05, 2.769955604524531e-06, -0.00010238994996457835, -3.245529190536452e-05]",0.0,0.0,0.0,0.0
"[3.04652107280815e-05, 2.890992121295978e-05, 4.2025042192609214e-05, 4.8689124781338265e-05, 2.8770919768432103e-05, 4.026489196108713e-06, -9.210656207314664e-05, -2.435579518436941e-05]",0.0,0.0,0.0,0.0
"[3.80692703716338e-05, 3.04652107280815e-05, 2.890992121295978e-05, 3.77199066306313e-05, 3.2632132596111644e-05, 1.7233973293982006e-06, -8.062549740562324e-05, -2.8298409386577785e-05]",0.0,0.0,0.0,0.0
"[4.729918609376918e-05, 3.80692703716338e-05, 3.04652107280815e-05, 4.2025042192609214e-05, 3.7452538936315185e-05, -6.189293981146089e-06, -9.141338757990796e-05, -4.026902289413099e-05]",0.0,0.0,0.0,0.0
"[4.447658024581508e-05, 4.729918609376918e-05, 3.80692703716338e-05, 2.890992121295978e-05, 3.611722511943658e-05, 5.5386044127221914e-06, -6.909658180639309e-05, -4.0164511542915906e-05]",0.0,0.0,0.0,0.0
"[6.12464561049104e-05, 4.447658024581508e-05, 4.729918609376918e-05, 3.04652107280815e-05, 4.8689124781338265e-05, 2.000847401635505e-06, -4.486639053253682e-05, -5.177220261157218e-05]",0.0,0.0,0.0,0.0
"[6.068052502008684e-05, 6.12464561049104e-05, 4.447658024581508e-05, 3.80692703716338e-05, 3.77199066306313e-05, -7.581123348590442e-06, -4.026543436676834e-05, -6.114305449868933e-05]",0.0,0.0,0.0,0.0
"[5.553423497195706e-05, 6.068052502008684e-05, 6.12464561049104e-05, 4.729918609376918e-05, 4.2025042192609214e-05, 8.33848001585823e-06, -2.423692412628923e-05, -5.429837068449407e-05]",0.0,0.0,0.0,0.0
"[5.076634155731817e-05, 5.553423497195706e-05, 6.068052502008684e-05, 4.447658024581508e-05, 2.890992121295978e-05, 1.508481575065597e-05, -1.7230006517894154e-05, -5.0202211708198794e-05]",0.0,0.0,0.0,0.0
"[3.483022712154866e-05, 5.076634155731817e-05, 5.553423497195706e-05, 6.12464561049104e-05, 3.04652107280815e-05, 2.8770919768432103e-05, 4.856966427036751e-06, -4.860260016434594e-05]",0.0,0.0,0.0,0.0
"[1.9130091113230135e-05, 3.483022712154866e-05, 5.076634155731817e-05, 6.068052502008684e-05, 3.80692703716338e-05, 3.2632132596111644e-05, 8.72573738800761e-06, -4.728969308951902e-05]",0.0,0.0,0.0,0.0
"[1.2703532177143882e-05, 1.9130091113230135e-05, 3.483022712154866e-05, 5.553423497195706e-05, 4.729918609376918e-05, 3.7452538936315185e-05, 7.388765171372073e-06, -6.0716750251387484e-05]",0.0,0.0,0.0,0.0
"[3.193695621752495e-05, 1.2703532177143882e-05, 1.9130091113230135e-05, 5.076634155731817e-05, 4.447658024581508e-05, 3.611722511943658e-05, 2.4792812772797323e-05, -8.441281076971318e-05]",0.0,0.0,0.0,0.0
"[4.6875384573543774e-05, 3.193695621752495e-05, 1.2703532177143882e-05, 3.483022712154866e-05, 6.12464561049104e-05, 4.8689124781338265e-05, 6.633834675921606e-06, -8.082328979654749e-05]",0.0,0.0,0.0,0.0
"[4.9686018877830714e-05, 4.6875384573543774e-05, 3.193695621752495e-05, 1.9130091113230135e-05, 6.068052502008684e-05, 3.77199066306313e-05, 9.532576573655236e-06, -7.625835715040303e-05]",0.0,0.0,0.0,0.0
"[5.275426461652449e-05, 4.9686018877830714e-05, 4.6875384573543774e-05, 1.2703532177143882e-05, 5.553423497195706e-05, 4.2025042192609214e-05, 2.584258141468187e-06, -6.445865364312919e-05]",0.0,0.0,0.0,0.0
"[5.3897192891651886e-05, 5.275426461652449e-05, 4.9686018877830714e-05, 3.193695621752495e-05, 5.076634155731817e-05, 2.890992121295978e-05, 2.769955604524531e-06, -7.116653129614696e-05]",0.0,0.0,0.0,0.0
"[5.783874645016698e-05, 5.3897192891651886e-05, 5.275426461652449e-05, 4.6875384573543774e-05, 3.483022712154866e-05, 3.04652107280815e-05, 4.026489196108713e-06, -6.698442021257683e-05]",0.0,0.0,0.0,0.0
"[6.360685432301515e-05, 5.783874645016698e-05, 5.3897192891651886e-05, 4.9686018877830714e-05, 1.9130091113230135e-05, 3.80692703716338e-05, 1.7233973293982006e-06, -8.006004540559411e-05]",0.0,0.0,0.0,0.0
