LTd_history,itv_LT,itv_LL,anm_develop_time,p_anm
"[9.693448191683274e-06, 9.880706784315407e-06, 1.1974122571700718e-05, 1.0680404557206202e-05, 8.478922609356232e-06, 1.95208649529377e-05, 1.484816129959654e-05, -2.1748142899014056e-05]",0.0,0.0,0.0,0.0
"[1.0165304047404788e-05, 9.693448191683274e-06, 9.880706784315407e-06, 1.170401355921058e-05, 8.515349691151641e-06, 1.502681971032871e-05, 1.049896400218131e-05, -1.218358283949783e-05]",0.0,0.0,0.0,0.0
"[8.238506779889576e-06, 1.0165304047404788e-05, 9.693448191683274e-06, 1.1974122571700718e-05, 8.768877705733757e-06, 1.7013191609294154e-05, 9.56933308771113e-06, -2.904514758483856e-06]",0.0,0.0,0.0,0.0
"[1.0251275853079278e-05, 8.238506779889576e-06, 1.0165304047404788e-05, 9.880706784315407e-06, 9.953939297702163e-06, 1.5726782294223085e-05, 1.1607768101384863e-05, 1.71750514255109e-06]",0.0,0.0,0.0,0.0
"[1.0617733096296433e-05, 1.0251275853079278e-05, 8.238506779889576e-06, 9.693448191683274e-06, 1.0680404557206202e-05, 1.2243179298820905e-05, 1.3171492355468217e-05, 5.07412914885208e-06]",0.0,0.0,0.0,0.0
"[1.0950750038318802e-05, 1.0617733096296433e-05, 1.0251275853079278e-05, 1.0165304047404788e-05, 1.170401355921058e-05, 1.3197335647419095e-05, 1.3449574908008799e-05, 9.215594218403567e-06]",0.0,0.0,0.0,0.0
"[9.364082870888524e-06, 1.0950750038318802e-05, 1.0617733096296433e-05, 8.238506779889576e-06, 1.1974122571700718e-05, 1.1269265996816102e-05, 1.396596144331852e-05, 9.323245649284218e-06]",0.0,0.0,0.0,0.0
"[9.668003258411773e-06, 9.364082870888524e-06, 1.0950750038318802e-05, 1.0251275853079278e-05, 9.880706784315407e-06, 1.099990913644433e-05, 1.417074690834852e-05, 1.0918992302322295e-05]",0.0,0.0,0.0,0.0
"[7.365118108282331e-06, 9.668003258411773e-06, 9.364082870888524e-06, 1.0617733096296433e-05, 9.693448191683274e-06, 8.478922609356232e-06, 1.7896309145726264e-05, 1.2463846360333264e-05]",0.0,0.0,0.0,0.0
"[8.271374099422246e-06, 7.365118108282331e-06, 9.668003258411773e-06, 1.0950750038318802e-05, 1.0165304047404788e-05, 8.515349691151641e-06, 1.9376122509129345e-05, 1.2726665772788692e-05]",0.0,0.0,0.0,0.0
