LTd_history,itv_LT,itv_LL,anm_develop_time,p_anm,anm_type
"[1.688198731556372e-05, 1.623460843087978e-05, 1.4943664455637156e-05, 1.720237885459252e-05, 2.3627330913637074e-05, 2.009248692652938e-05, 1.421662450831227e-05, -3.7751676117129754e-06]",0.0,0.0,0.0,0.0,LL
"[1.8479329581611013e-05, 1.688198731556372e-05, 1.623460843087978e-05, 1.4962316768778222e-05, 2.296852845717637e-05, 2.033103288962066e-05, 1.4458315951297703e-05, -1.7370286864498903e-06]",0.0,0.0,0.0,0.0,LL
"[2.0528812780278957e-05, 1.8479329581611013e-05, 1.688198731556372e-05, 1.4943664455637156e-05, 2.1389032546635646e-05, 1.9899853646605955e-05, 1.5170706947800122e-05, -1.879647523158635e-06]",0.0,0.0,0.0,0.0,LL
"[2.1860241491331964e-05, 2.0528812780278957e-05, 1.8479329581611013e-05, 1.623460843087978e-05, 1.9593507525692073e-05, 2.0151317226438942e-05, 1.4775914547426437e-05, -2.5002026845382337e-06]",0.0,0.0,0.0,0.0,LL
"[2.072244442738347e-05, 2.1860241491331964e-05, 2.0528812780278957e-05, 1.688198731556372e-05, 1.720237885459252e-05, 2.0150571566080525e-05, 1.5466472132686642e-05, -3.881720132162695e-06]",0.0,0.0,0.0,0.0,LL
"[2.0267307616373405e-05, 2.072244442738347e-05, 2.1860241491331964e-05, 1.8479329581611013e-05, 1.4962316768778222e-05, 2.12693455082601e-05, 1.6436477052826458e-05, -4.071843897642411e-06]",0.0,0.0,0.0,0.0,LL
"[1.9214321736801805e-05, 2.0267307616373405e-05, 2.072244442738347e-05, 2.0528812780278957e-05, 1.4943664455637156e-05, 2.1962305096920395e-05, 1.785317654679183e-05, -5.365082259016735e-06]",0.0,0.0,0.0,0.0,LL
"[1.7956187165634044e-05, 1.9214321736801805e-05, 2.0267307616373405e-05, 2.1860241491331964e-05, 1.623460843087978e-05, 2.25027688846217e-05, 1.8524312268366795e-05, -5.9232880796320155e-06]",0.0,0.0,0.0,0.0,LL
"[1.6468232388748824e-05, 1.7956187165634044e-05, 1.9214321736801805e-05, 2.072244442738347e-05, 1.688198731556372e-05, 2.3627330913637074e-05, 1.8386160589041268e-05, -4.597348315260033e-06]",0.0,0.0,0.0,0.0,LL
"[1.5317184273561392e-05, 1.6468232388748824e-05, 1.7956187165634044e-05, 2.0267307616373405e-05, 1.8479329581611013e-05, 2.296852845717637e-05, 1.809400296351429e-05, -2.962148504104643e-06]",0.0,0.0,0.0,0.0,LL
"[1.4758839341143002e-05, 1.5317184273561392e-05, 1.6468232388748824e-05, 1.9214321736801805e-05, 2.0528812780278957e-05, 2.1389032546635646e-05, 1.767730705343797e-05, -1.0209682799571242e-06]",0.0,0.0,0.0,0.0,LL
"[1.3793411338152111e-05, 1.4758839341143002e-05, 1.5317184273561392e-05, 1.7956187165634044e-05, 2.1860241491331964e-05, 1.9593507525692073e-05, 1.7634202263458597e-05, 4.54668609533167e-07]",0.0,0.0,0.0,0.0,LL
"[1.2645417347573628e-05, 1.3793411338152111e-05, 1.4758839341143002e-05, 1.6468232388748824e-05, 2.072244442738347e-05, 1.720237885459252e-05, 1.7753751013311145e-05, 7.090155157097606e-07]",0.0,0.0,0.0,0.0,LL
"[9.857262163573496e-06, 1.2645417347573628e-05, 1.3793411338152111e-05, 1.5317184273561392e-05, 2.0267307616373405e-05, 1.4962316768778222e-05, 1.8018821069048755e-05, 1.4726503063679001e-06]",0.0,0.0,0.0,0.0,LL
"[9.789524862038941e-06, 9.857262163573496e-06, 1.2645417347573628e-05, 1.4758839341143002e-05, 1.9214321736801805e-05, 1.4943664455637156e-05, 1.8455737592661016e-05, 2.4070422602401885e-06]",0.0,0.0,0.0,0.0,LL
"[9.942602914480305e-06, 9.789524862038941e-06, 9.857262163573496e-06, 1.3793411338152111e-05, 1.7956187165634044e-05, 1.623460843087978e-05, 1.9737179850304314e-05, 3.3456824368400833e-06]",0.0,0.0,0.0,0.0,LL
"[1.0248757600679821e-05, 9.942602914480305e-06, 9.789524862038941e-06, 1.2645417347573628e-05, 1.6468232388748824e-05, 1.688198731556372e-05, 2.009248692652938e-05, 4.064715868471685e-06]",0.0,0.0,0.0,0.0,LL
"[9.80841402185374e-06, 1.0248757600679821e-05, 9.942602914480305e-06, 9.857262163573496e-06, 1.5317184273561392e-05, 1.8479329581611013e-05, 2.033103288962066e-05, 5.286702323948422e-06]",0.0,0.0,0.0,0.0,LL
"[1.0982760620819712e-05, 9.80841402185374e-06, 1.0248757600679821e-05, 9.789524862038941e-06, 1.4758839341143002e-05, 2.0528812780278957e-05, 1.9899853646605955e-05, 5.082094368236769e-06]",0.0,0.0,0.0,0.0,LL
"[1.1909483124117105e-05, 1.0982760620819712e-05, 9.80841402185374e-06, 9.942602914480305e-06, 1.3793411338152111e-05, 2.1860241491331964e-05, 2.0151317226438942e-05, 4.808719560982709e-06]",0.0,0.0,0.0,0.0,LL
"[1.4408253872142055e-05, 1.1909483124117105e-05, 1.0982760620819712e-05, 1.0248757600679821e-05, 1.2645417347573628e-05, 2.072244442738347e-05, 2.0150571566080525e-05, 4.4203779312769626e-06]",0.0,0.0,0.0,0.0,LL
"[1.3822825444122425e-05, 1.4408253872142055e-05, 1.1909483124117105e-05, 9.80841402185374e-06, 9.857262163573496e-06, 2.0267307616373405e-05, 2.12693455082601e-05, 5.918674971797752e-06]",0.0,0.0,0.0,0.0,LL
"[1.3229975715524459e-05, 1.3822825444122425e-05, 1.4408253872142055e-05, 1.0982760620819712e-05, 9.789524862038941e-06, 1.9214321736801805e-05, 2.1962305096920395e-05, 8.054991482803051e-06]",0.0,0.0,0.0,0.0,LL
"[1.3750782440094324e-05, 1.3229975715524459e-05, 1.3822825444122425e-05, 1.1909483124117105e-05, 9.942602914480305e-06, 1.7956187165634044e-05, 2.25027688846217e-05, 9.317136468889328e-06]",0.0,0.0,0.0,0.0,LL
"[1.444811682257898e-05, 1.3750782440094324e-05, 1.3229975715524459e-05, 1.4408253872142055e-05, 1.0248757600679821e-05, 1.6468232388748824e-05, 2.3627330913637074e-05, 1.1236391701228133e-05]",0.0,0.0,0.0,0.0,LL
"[1.4738245267122911e-05, 1.444811682257898e-05, 1.3750782440094324e-05, 1.3822825444122425e-05, 9.80841402185374e-06, 1.5317184273561392e-05, 2.296852845717637e-05, 1.2505811310837261e-05]",0.0,0.0,0.0,0.0,LL
"[1.5031944042408686e-05, 1.4738245267122911e-05, 1.444811682257898e-05, 1.3229975715524459e-05, 1.0982760620819712e-05, 1.4758839341143002e-05, 2.1389032546635646e-05, 1.5071237825202137e-05]",0.0,0.0,0.0,0.0,LL
"[1.3461501181357995e-05, 1.5031944042408686e-05, 1.4738245267122911e-05, 1.3750782440094324e-05, 1.1909483124117105e-05, 1.3793411338152111e-05, 1.9593507525692073e-05, 1.6019074290360464e-05]",0.0,0.0,0.0,0.0,LL
"[1.2775912084490525e-05, 1.3461501181357995e-05, 1.5031944042408686e-05, 1.444811682257898e-05, 1.4408253872142055e-05, 1.2645417347573628e-05, 1.720237885459252e-05, 1.6922201299875357e-05]",0.0,0.0,0.0,0.0,LL
"[1.1602143634983653e-05, 1.2775912084490525e-05, 1.3461501181357995e-05, 1.4738245267122911e-05, 1.3822825444122425e-05, 9.857262163573496e-06, 1.4962316768778222e-05, 1.768468717340382e-05]",0.0,0.0,0.0,0.0,LL
"[1.1905093592701283e-05, 1.1602143634983653e-05, 1.2775912084490525e-05, 1.5031944042408686e-05, 1.3229975715524459e-05, 9.789524862038941e-06, 1.4943664455637156e-05, 1.6523994882283806e-05]",0.0,0.0,0.0,0.0,LL
"[1.1297417246216616e-05, 1.1905093592701283e-05, 1.1602143634983653e-05, 1.3461501181357995e-05, 1.3750782440094324e-05, 9.942602914480305e-06, 1.623460843087978e-05, 1.552310475384387e-05]",0.0,0.0,0.0,0.0,LL
"[1.0353630025514808e-05, 1.1297417246216616e-05, 1.1905093592701283e-05, 1.2775912084490525e-05, 1.444811682257898e-05, 1.0248757600679821e-05, 1.688198731556372e-05, 1.421662450831227e-05]",0.0,0.0,0.0,0.0,LL
"[1.0775423589118428e-05, 1.0353630025514808e-05, 1.1297417246216616e-05, 1.1602143634983653e-05, 1.4738245267122911e-05, 9.80841402185374e-06, 1.8479329581611013e-05, 1.4458315951297703e-05]",0.0,0.0,0.0,0.0,LL
"[1.1179482534392772e-05, 1.0775423589118428e-05, 1.0353630025514808e-05, 1.1905093592701283e-05, 1.5031944042408686e-05, 1.0982760620819712e-05, 2.0528812780278957e-05, 1.5170706947800122e-05]",0.0,0.0,0.0,0.0,LL
"[1.2180092476128187e-05, 1.1179482534392772e-05, 1.0775423589118428e-05, 1.1297417246216616e-05, 1.3461501181357995e-05, 1.1909483124117105e-05, 2.1860241491331964e-05, 1.4775914547426437e-05]",0.0,0.0,0.0,0.0,LL
"[1.2741488292156074e-05, 1.2180092476128187e-05, 1.1179482534392772e-05, 1.0353630025514808e-05, 1.2775912084490525e-05, 1.4408253872142055e-05, 2.072244442738347e-05, 1.5466472132686642e-05]",0.0,0.0,0.0,0.0,LL
"[1.226431938435572e-05, 1.2741488292156074e-05, 1.2180092476128187e-05, 1.0775423589118428e-05, 1.1602143634983653e-05, 1.3822825444122425e-05, 2.0267307616373405e-05, 1.6436477052826458e-05]",0.0,0.0,0.0,0.0,LL
"[1.1863325588166596e-05, 1.226431938435572e-05, 1.2741488292156074e-05, 1.1179482534392772e-05, 1.1905093592701283e-05, 1.3229975715524459e-05, 1.9214321736801805e-05, 1.785317654679183e-05]",0.0,0.0,0.0,0.0,LL
"[1.1367705609489186e-05, 1.1863325588166596e-05, 1.226431938435572e-05, 1.2180092476128187e-05, 1.1297417246216616e-05, 1.3750782440094324e-05, 1.7956187165634044e-05, 1.8524312268366795e-05]",0.0,0.0,0.0,0.0,LL
"[1.0060889216539184e-05, 1.1367705609489186e-05, 1.1863325588166596e-05, 1.2741488292156074e-05, 1.0353630025514808e-05, 1.444811682257898e-05, 1.6468232388748824e-05, 1.8386160589041268e-05]",0.0,0.0,0.0,0.0,LL
