temps;exponential;X_EL;X_ET;X_A;X_local_level;X_local_trend
2023-01-01;2.1139129449141003;0.0;0.35;10;2.0;-0.1
2023-01-02;-1.15869843634754;0.35;0.35;10;1.9;-0.1
2023-01-03;-3.238902438508581;0.7;0.35;10;1.8;-0.1
2023-01-04;-4.884390841762643;1.0499999999999998;0.35;10;1.7;-0.1
2023-01-05;-6.406408255640208;1.4;0.35;10;1.6;-0.1
2023-01-06;-6.89316744136042;1.75;0.35;10;1.5;-0.1
2023-01-07;-7.390254337799371;2.0999999999999996;0.35;10;1.4;-0.1
2023-01-08;-7.408460583934164;2.4499999999999997;0.35;10;1.2999999999999998;-0.1
2023-01-09;-7.9874424855567545;2.8;0.35;10;1.2;-0.1
2023-01-10;-8.284451369426531;3.15;0.35;10;1.1;-0.1
2023-01-11;-8.409123792656915;3.5;0.35;10;1.0;-0.1
2023-01-12;-9.406136391427678;3.8499999999999996;0.35;10;0.8999999999999999;-0.1
2023-01-13;-8.96046791580451;4.199999999999999;0.35;10;0.7999999999999998;-0.1
2023-01-14;-9.0194715747713;4.55;0.35;10;0.7;-0.1
2023-01-15;-9.333582187431299;4.8999999999999995;0.35;10;0.5999999999999999;-0.1
2023-01-16;-9.750120242704508;5.25;0.35;10;0.5;-0.1
2023-01-17;-9.93016810263287;5.6;0.35;10;0.3999999999999999;-0.1
2023-01-18;-9.372362220456875;5.949999999999999;0.35;10;0.2999999999999998;-0.1
2023-01-19;-9.621408649110018;6.3;0.35;10;0.19999999999999996;-0.1
2023-01-20;-9.709473088298429;6.6499999999999995;0.35;10;0.09999999999999987;-0.1
2023-01-21;-10.243321680273331;7.0;0.35;10;0.0;-0.1
2023-01-22;-10.111669328439495;7.35;0.35;10;-0.10000000000000009;-0.1
2023-01-23;-9.765206438860712;7.699999999999999;0.35;10;-0.20000000000000018;-0.1
2023-01-24;-9.853413741568534;8.049999999999999;0.35;10;-0.30000000000000027;-0.1
2023-01-25;-10.278952074815614;8.399999999999999;0.35;10;-0.40000000000000036;-0.1
2023-01-26;-10.045040289734246;8.75;0.35;10;-0.5;-0.1
2023-01-27;-10.451877493416992;9.1;0.35;10;-0.6000000000000001;-0.1
2023-01-28;-11.002750974054461;9.45;0.35;10;-0.7000000000000002;-0.1
2023-01-29;-10.611402198155174;9.799999999999999;0.35;10;-0.8000000000000003;-0.1
2023-01-30;-10.98725296232122;10.149999999999999;0.35;10;-0.9000000000000004;-0.1
2023-01-31;-10.951882351392092;10.5;0.35;10;-1.0;-0.1
2023-02-01;-11.030425065542053;10.85;0.35;10;-1.1;-0.1
2023-02-02;-11.086851813959957;11.2;0.35;10;-1.2000000000000002;-0.1
2023-02-03;-11.196292259561549;11.549999999999999;0.35;10;-1.3000000000000003;-0.1
2023-02-04;-11.471349313260234;11.899999999999999;0.35;10;-1.4000000000000004;-0.1
2023-02-05;-11.762141584655337;12.25;0.35;10;-1.5;-0.1
2023-02-06;-11.201178389284555;12.6;0.35;10;-1.6;-0.1
2023-02-07;-11.130567630781883;12.95;0.35;10;-1.7000000000000002;-0.1
2023-02-08;-11.660195034014897;13.299999999999999;0.35;10;-1.8000000000000003;-0.1
2023-02-09;-12.256412834376615;13.649999999999999;0.35;10;-1.9000000000000004;-0.1
2023-02-10;-12.039485919441072;14.0;0.35;10;-2.0;-0.1
2023-02-11;-11.992100304934926;14.35;0.35;10;-2.1000000000000005;-0.1
2023-02-12;-12.151329416337006;14.7;0.35;10;-2.2;-0.1
2023-02-13;-12.036031245039066;15.049999999999999;0.35;10;-2.3;-0.1
2023-02-14;-12.938942683123717;15.399999999999999;0.35;10;-2.4000000000000004;-0.1
2023-02-15;-12.355122176836044;15.749999999999998;0.35;10;-2.5;-0.1
2023-02-16;-12.541686304216885;16.099999999999998;0.35;10;-2.6000000000000005;-0.1
2023-02-17;-12.932843655113302;16.45;0.35;10;-2.7;-0.1
2023-02-18;-12.70573541979993;16.799999999999997;0.35;10;-2.8000000000000007;-0.1
2023-02-19;-12.828525456880035;17.15;0.35;10;-2.9000000000000004;-0.1
2023-02-20;-12.843370379001309;17.5;0.35;10;-3.0;-0.1
2023-02-21;-12.758190564424773;17.849999999999998;0.35;10;-3.1000000000000005;-0.1
2023-02-22;-13.498508570120421;18.2;0.35;10;-3.2;-0.1
2023-02-23;-13.749668704111615;18.549999999999997;0.35;10;-3.3000000000000007;-0.1
2023-02-24;-13.547822511286913;18.9;0.35;10;-3.4000000000000004;-0.1
2023-02-25;-12.860767994593408;19.25;0.35;10;-3.5;-0.1
2023-02-26;-13.645695096622347;19.599999999999998;0.35;10;-3.6000000000000005;-0.1
2023-02-27;-14.141131158522604;19.95;0.35;10;-3.7;-0.1
2023-02-28;-13.375983685498671;20.299999999999997;0.35;10;-3.8000000000000007;-0.1
2023-03-01;-13.80088017416678;20.65;0.35;10;-3.9000000000000004;-0.1
2023-03-02;-14.226101626706093;21.0;0.35;10;-4.0;-0.1
2023-03-03;-13.965049575528308;21.349999999999998;0.35;10;-4.1000000000000005;-0.1
2023-03-04;-13.869989252266542;21.7;0.35;10;-4.2;-0.1
2023-03-05;-14.049236796711202;22.049999999999997;0.35;10;-4.300000000000001;-0.1
2023-03-06;-14.200080884804924;22.4;0.35;10;-4.4;-0.1
2023-03-07;-14.275769852692386;22.75;0.35;10;-4.5;-0.1
2023-03-08;-14.897994197303252;23.099999999999998;0.35;10;-4.6000000000000005;-0.1
2023-03-09;-14.99483205028599;23.45;0.35;10;-4.7;-0.1
2023-03-10;-14.98911367675634;23.799999999999997;0.35;10;-4.800000000000001;-0.1
2023-03-11;-15.059806657674166;24.15;0.35;10;-4.9;-0.1
2023-03-12;-15.085169319938855;24.5;0.35;10;-5.0;-0.1
2023-03-13;-15.18084615446315;24.849999999999998;0.35;10;-5.1000000000000005;-0.1
2023-03-14;-15.086771594947237;25.2;0.35;10;-5.2;-0.1
2023-03-15;-15.82163947311336;25.549999999999997;0.35;10;-5.300000000000001;-0.1
2023-03-16;-15.48454846780289;25.9;0.35;10;-5.4;-0.1
2023-03-17;-15.336134285679679;26.25;0.35;10;-5.5;-0.1
2023-03-18;-15.429036888634702;26.599999999999998;0.35;10;-5.6000000000000005;-0.1
2023-03-19;-15.479150921033632;26.95;0.35;10;-5.7;-0.1
2023-03-20;-16.067049910556594;27.299999999999997;0.35;10;-5.800000000000001;-0.1
2023-03-21;-15.863904889262798;27.65;0.35;10;-5.9;-0.1
2023-03-22;-15.741772949339316;28.0;0.35;10;-6.0;-0.1
2023-03-23;-16.14310831619232;28.349999999999998;0.35;10;-6.1;-0.1
2023-03-24;-16.252860930978922;28.7;0.35;10;-6.200000000000001;-0.1
2023-03-25;-16.196133908021004;29.049999999999997;0.35;10;-6.300000000000001;-0.1
2023-03-26;-16.370191488736772;29.4;0.35;10;-6.4;-0.1
2023-03-27;-16.646650997538135;29.749999999999996;0.35;10;-6.5;-0.1
2023-03-28;-16.51678945378858;30.099999999999998;0.35;10;-6.6;-0.1
2023-03-29;-16.759571580740243;30.45;0.35;10;-6.700000000000001;-0.1
2023-03-30;-16.588598830280176;30.799999999999997;0.35;10;-6.800000000000001;-0.1
2023-03-31;-16.976888477377713;31.15;0.35;10;-6.9;-0.1
2023-04-01;-16.808167176863016;31.499999999999996;0.35;10;-7.0;-0.1
2023-04-02;-17.01521593796231;31.849999999999998;0.35;10;-7.1;-0.1
2023-04-03;-16.98243143878716;32.199999999999996;0.35;10;-7.200000000000001;-0.1
2023-04-04;-17.428577465288242;32.55;0.35;10;-7.300000000000001;-0.1
2023-04-05;-17.347988507064507;32.9;0.35;10;-7.4;-0.1
2023-04-06;-17.316511288728556;33.25;0.35;10;-7.5;-0.1
2023-04-07;-17.407534927834188;33.599999999999994;0.35;10;-7.600000000000001;-0.1
2023-04-08;-17.79313014581953;33.949999999999996;0.35;10;-7.700000000000001;-0.1
2023-04-09;-17.98874979178744;34.3;0.35;10;-7.800000000000001;-0.1
2023-04-10;-17.659725498079215;34.65;0.35;10;-7.9;-0.1
