temps;exponential;X_EL;X_ET;X_A;X_local_level;X_local_trend
2023-01-01;3.9908347834554716;0.0;0.02;10;2.0;-0.005
2023-01-02;3.7023638987958876;0.02;0.02;10;1.995;-0.005
2023-01-03;3.5782251288393425;0.04;0.02;10;1.99;-0.005
2023-01-04;3.503969488396727;0.06;0.02;10;1.985;-0.005
2023-01-05;3.187651626473994;0.08;0.02;10;1.98;-0.005
2023-01-06;3.0151144272230073;0.1;0.02;10;1.975;-0.005
2023-01-07;2.716096577636289;0.12;0.02;10;1.97;-0.005
2023-01-08;2.7181534665537965;0.14;0.02;10;1.965;-0.005
2023-01-09;2.4173799577505193;0.16;0.02;10;1.96;-0.005
2023-01-10;2.2448560206242343;0.18;0.02;10;1.955;-0.005
2023-01-11;2.090036214185215;0.2;0.02;10;1.95;-0.005
2023-01-12;1.8913270963172397;0.22;0.02;10;1.945;-0.005
2023-01-13;1.7681025044784826;0.24;0.02;10;1.94;-0.005
2023-01-14;1.6572208016168926;0.26;0.02;10;1.935;-0.005
2023-01-15;1.441371410003711;0.28;0.02;10;1.93;-0.005
2023-01-16;1.2389799682940217;0.3;0.02;10;1.925;-0.005
2023-01-17;1.15739459433397;0.32;0.02;10;1.92;-0.005
2023-01-18;0.9985522844079946;0.34;0.02;10;1.915;-0.005
2023-01-19;0.8537136353403499;0.36;0.02;10;1.91;-0.005
2023-01-20;0.6948760663790781;0.38;0.02;10;1.905;-0.005
2023-01-21;0.6006121405960775;0.4;0.02;10;1.9;-0.005
2023-01-22;0.2585772249191627;0.42;0.02;10;1.895;-0.005
2023-01-23;0.2558555684492315;0.44;0.02;10;1.89;-0.005
2023-01-24;0.022719046259061168;0.46;0.02;10;1.885;-0.005
2023-01-25;-0.0071007741674017355;0.48;0.02;10;1.88;-0.005
2023-01-26;-0.3068023712746917;0.5;0.02;10;1.875;-0.005
2023-01-27;-0.3464959748212483;0.52;0.02;10;1.87;-0.005
2023-01-28;-0.5491685560489865;0.54;0.02;10;1.865;-0.005
2023-01-29;-0.6966014408354962;0.56;0.02;10;1.8599999999999999;-0.005
2023-01-30;-0.8511936536687128;0.58;0.02;10;1.855;-0.005
2023-01-31;-0.8631777864791911;0.6;0.02;10;1.85;-0.005
2023-02-01;-0.9980963599223356;0.62;0.02;10;1.845;-0.005
2023-02-02;-1.183489740855231;0.64;0.02;10;1.84;-0.005
2023-02-03;-1.2849792273174812;0.66;0.02;10;1.835;-0.005
2023-02-04;-1.347086178422276;0.68;0.02;10;1.83;-0.005
2023-02-05;-1.603555962336493;0.7000000000000001;0.02;10;1.825;-0.005
2023-02-06;-1.6615869877615947;0.72;0.02;10;1.82;-0.005
2023-02-07;-1.8871955720252318;0.74;0.02;10;1.815;-0.005
2023-02-08;-1.9845406740215692;0.76;0.02;10;1.81;-0.005
2023-02-09;-2.119061699389755;0.78;0.02;10;1.805;-0.005
2023-02-10;-2.2289148953452678;0.8;0.02;10;1.8;-0.005
2023-02-11;-2.2222323769317436;0.8200000000000001;0.02;10;1.795;-0.005
2023-02-12;-2.4142854759201846;0.84;0.02;10;1.79;-0.005
2023-02-13;-2.4783948802035063;0.86;0.02;10;1.785;-0.005
2023-02-14;-2.560441833059039;0.88;0.02;10;1.78;-0.005
2023-02-15;-2.7010283955750922;0.9;0.02;10;1.775;-0.005
2023-02-16;-2.832405734153441;0.92;0.02;10;1.77;-0.005
2023-02-17;-2.8950717705062377;0.9400000000000001;0.02;10;1.765;-0.005
2023-02-18;-2.955305022743512;0.96;0.02;10;1.76;-0.005
2023-02-19;-3.146149341857467;0.98;0.02;10;1.755;-0.005
2023-02-20;-3.3535440831897416;1.0;0.02;10;1.75;-0.005
2023-02-21;-3.3704682064511475;1.02;0.02;10;1.745;-0.005
2023-02-22;-3.5342441996402902;1.04;0.02;10;1.74;-0.005
2023-02-23;-3.606367808771235;1.06;0.02;10;1.7349999999999999;-0.005
2023-02-24;-3.6341023191128436;1.08;0.02;10;1.73;-0.005
2023-02-25;-3.7780167032960237;1.1;0.02;10;1.725;-0.005
2023-02-26;-3.891009764452302;1.12;0.02;10;1.72;-0.005
2023-02-27;-4.0398125990696165;1.1400000000000001;0.02;10;1.7149999999999999;-0.005
2023-02-28;-3.972463913368692;1.16;0.02;10;1.71;-0.005
2023-03-01;-4.073109486628732;1.18;0.02;10;1.705;-0.005
2023-03-02;-4.289983493388051;1.2;0.02;10;1.7;-0.005
2023-03-03;-4.365977306495085;1.22;0.02;10;1.695;-0.005
2023-03-04;-4.441404193075885;1.24;0.02;10;1.69;-0.005
2023-03-05;-4.668767399401936;1.26;0.02;10;1.685;-0.005
2023-03-06;-4.648927212299943;1.28;0.02;10;1.68;-0.005
2023-03-07;-4.813957514354095;1.3;0.02;10;1.675;-0.005
2023-03-08;-4.8133031328673574;1.32;0.02;10;1.67;-0.005
2023-03-09;-4.898694638027175;1.34;0.02;10;1.665;-0.005
2023-03-10;-4.989782948704089;1.36;0.02;10;1.66;-0.005
2023-03-11;-5.052396091999134;1.3800000000000001;0.02;10;1.655;-0.005
2023-03-12;-5.219115971997773;1.4000000000000001;0.02;10;1.65;-0.005
2023-03-13;-5.2922974121243165;1.42;0.02;10;1.645;-0.005
2023-03-14;-5.388943838062123;1.44;0.02;10;1.6400000000000001;-0.005
2023-03-15;-5.394575704106972;1.46;0.02;10;1.635;-0.005
2023-03-16;-5.383489143181236;1.48;0.02;10;1.63;-0.005
2023-03-17;-5.55329625042538;1.5;0.02;10;1.625;-0.005
2023-03-18;-5.710043447333409;1.52;0.02;10;1.62;-0.005
2023-03-19;-5.682286041526138;1.54;0.02;10;1.615;-0.005
2023-03-20;-5.8895174367409036;1.56;0.02;10;1.6099999999999999;-0.005
2023-03-21;-5.870028994588479;1.58;0.02;10;1.605;-0.005
2023-03-22;-5.897705821727731;1.6;0.02;10;1.6;-0.005
2023-03-23;-6.069794903817438;1.62;0.02;10;1.595;-0.005
2023-03-24;-6.079785673449008;1.6400000000000001;0.02;10;1.5899999999999999;-0.005
2023-03-25;-6.256431267311265;1.6600000000000001;0.02;10;1.585;-0.005
2023-03-26;-6.326599171895597;1.68;0.02;10;1.58;-0.005
2023-03-27;-6.3788559412403565;1.7;0.02;10;1.575;-0.005
2023-03-28;-6.407906418090613;1.72;0.02;10;1.57;-0.005
2023-03-29;-6.559452230409579;1.74;0.02;10;1.565;-0.005
2023-03-30;-6.634765645547186;1.76;0.02;10;1.56;-0.005
2023-03-31;-6.719802190931889;1.78;0.02;10;1.555;-0.005
2023-04-01;-6.811487105967507;1.8;0.02;10;1.55;-0.005
2023-04-02;-6.733995710230877;1.82;0.02;10;1.545;-0.005
2023-04-03;-6.838832195484096;1.84;0.02;10;1.54;-0.005
2023-04-04;-7.010103464424869;1.86;0.02;10;1.535;-0.005
2023-04-05;-7.098242440027499;1.8800000000000001;0.02;10;1.53;-0.005
2023-04-06;-7.130480364242157;1.9000000000000001;0.02;10;1.525;-0.005
2023-04-07;-7.122657029389856;1.92;0.02;10;1.52;-0.005
2023-04-08;-7.278838085259788;1.94;0.02;10;1.5150000000000001;-0.005
2023-04-09;-7.272513069812778;1.96;0.02;10;1.51;-0.005
2023-04-10;-7.4097115671490466;1.98;0.02;10;1.505;-0.005
2023-04-11;-7.398246209463055;2.0;0.02;10;1.5;-0.005
2023-04-12;-7.5244004996138925;2.02;0.02;10;1.495;-0.005
2023-04-13;-7.5810098336965375;2.04;0.02;10;1.49;-0.005
2023-04-14;-7.64973684477467;2.06;0.02;10;1.4849999999999999;-0.005
2023-04-15;-7.767607301317378;2.08;0.02;10;1.48;-0.005
2023-04-16;-7.695267215672622;2.1;0.02;10;1.475;-0.005
2023-04-17;-7.86688487367486;2.12;0.02;10;1.47;-0.005
2023-04-18;-7.856521144283585;2.14;0.02;10;1.4649999999999999;-0.005
2023-04-19;-7.93509748575435;2.16;0.02;10;1.46;-0.005
2023-04-20;-7.992502535036294;2.18;0.02;10;1.455;-0.005
2023-04-21;-8.122967669589368;2.2;0.02;10;1.45;-0.005
2023-04-22;-8.10444384380945;2.22;0.02;10;1.4449999999999998;-0.005
2023-04-23;-8.211789888511307;2.24;0.02;10;1.44;-0.005
2023-04-24;-8.314596920383849;2.2600000000000002;0.02;10;1.435;-0.005
2023-04-25;-8.311925644810902;2.2800000000000002;0.02;10;1.43;-0.005
2023-04-26;-8.297112765267247;2.3000000000000003;0.02;10;1.4249999999999998;-0.005
2023-04-27;-8.37643191823702;2.32;0.02;10;1.42;-0.005
2023-04-28;-8.439896078886346;2.34;0.02;10;1.415;-0.005
