TimeStep,StateType,Variable,Values
0,Priors,mu_c_priors,0.132848 -0.0508593 0.0552985 -0.0129044 0.166956 -0.0495552 0.0588681 -0.0754345 -0.0252332 0.0543737 -0.437433 0.307785 -0.18426 0.171884 -0.14269 0.0216575 -0.157706 0.103306 -0.0643725 0.0879219 -0.167591 -0.25076 0.177895 -0.181022 -0.248839 0.0675683 -0.095226 -0.110241 0.275787 0.175398 0.0281859 -0.0559289 -0.095649 0.104362 -0.321948 0.0320135 -0.149152 -0.162432 -0.131878 0.18064
1,Priors,mu_c_priors,0.233736 0.0317551 0.199738 0.0236295 0.214902 -0.151872 0.119121 -0.333123 0.147496 0.0397395 -0.654732 0.22597 -0.331909 0.295922 -0.221605 -0.2087 -0.1842 0.133851 -0.0701675 0.208208 -0.26908 -0.319934 0.233974 -0.114931 -0.390282 -0.00518088 0.00349081 -0.226787 0.331195 0.38108 0.0569461 0.0786157 -0.155596 0.00912615 -0.53723 0.0510066 -0.236846 -0.00539625 -0.272422 0.135933
2,Priors,mu_c_priors,0.191725 0.0950922 0.272949 0.0287293 0.0768913 -0.046416 0.152265 -0.396592 0.33135 0.123165 -0.644506 0.129336 -0.33936 0.212929 -0.259377 -0.245164 -0.134161 0.0766609 0.00232478 0.165191 -0.390097 -0.299298 0.236837 -0.00172105 -0.375623 -0.0783214 -0.0221482 -0.294519 0.399399 0.358119 0.060775 0.0279379 -0.256148 -0.0789831 -0.657171 0.0940679 -0.2542 0.0569939 -0.298965 0.218666
3,Priors,mu_c_priors,0.27776 0.189221 0.339155 0.0115592 -0.0230809 -0.0187421 0.135848 -0.502628 0.518994 0.186267 -0.564019 -0.016729 -0.345408 0.163917 -0.27286 -0.407929 -0.0608487 0.0407558 0.114476 0.146697 -0.423234 -0.256055 0.204293 0.121124 -0.358141 -0.0837259 0.0585908 -0.360181 0.363072 0.282369 0.047802 0.0476887 -0.221848 -0.246425 -0.721339 0.127221 -0.23242 0.213916 -0.334493 0.12869
4,Priors,mu_c_priors,0.34805 0.244209 0.202022 -0.0155418 -0.171175 0.0247833 0.078405 -0.574651 0.610683 0.293366 -0.421083 -0.0958898 -0.324587 -0.0101058 -0.233171 -0.544465 -0.0639626 0.14338 0.143294 0.161467 -0.378175 -0.145619 0.177609 0.212662 -0.34575 -0.134928 0.0696228 -0.389762 0.284171 0.157258 0.0959354 0.0550555 -0.205672 -0.345468 -0.733511 0.0438059 -0.207277 0.338925 -0.346637 0.0751705
5,Priors,mu_c_priors,0.349428 0.342173 0.137368 -0.133239 -0.297921 0.013244 0.0716441 -0.598307 0.648473 0.361771 -0.38296 -0.13084 -0.321719 -0.155749 -0.141074 -0.633279 -0.0508435 0.230658 0.194356 0.307677 -0.258059 -0.0870165 0.144739 0.280099 -0.362008 -0.175227 -0.0653924 -0.432013 0.113082 -0.0089972 0.0987284 0.0641043 -0.20263 -0.483777 -0.690863 0.0125156 -0.184917 0.440036 -0.316567 -0.0556851
6,Priors,mu_c_priors,0.366865 0.433615 0.0128168 -0.298601 -0.423796 -0.03493 0.049986 -0.720803 0.621711 0.316752 -0.367455 -0.207888 -0.353384 -0.215121 -0.107049 -0.790599 -0.0462986 0.363877 0.239444 0.451582 -0.135562 -0.0596473 0.0443371 0.319775 -0.349912 -0.197564 -0.131966 -0.466499 -0.101893 -0.173101 0.16056 0.193936 -0.212213 -0.627971 -0.670461 -0.101713 -0.148741 0.525642 -0.317844 -0.199327
7,Priors,mu_c_priors,0.375308 0.3951 -0.084531 -0.400154 -0.51619 -0.0949703 -0.122887 -0.748614 0.546383 0.358281 -0.361258 -0.144112 -0.263418 -0.313703 -0.0183553 -0.825789 -0.0829888 0.437374 0.263383 0.475465 0.0647331 -0.0931417 0.0716114 0.334241 -0.360432 -0.175122 -0.237505 -0.382208 -0.228413 -0.260433 0.194358 0.209088 -0.210107 -0.725614 -0.603581 -0.227828 -0.115152 0.530252 -0.309313 -0.264806
8,Priors,mu_c_priors,0.364914 0.409973 -0.168426 -0.534274 -0.443152 -0.214257 -0.286881 -0.811773 0.521217 0.214455 -0.373879 -0.123625 -0.291275 -0.201796 0.0898406 -0.946167 -0.101872 0.596108 0.325817 0.633589 0.2124 -0.0958139 0.171026 0.309526 -0.401659 -0.189167 -0.236287 -0.380767 -0.36435 -0.251825 0.199288 0.333885 -0.208892 -0.813996 -0.611473 -0.256332 -0.0927332 0.612147 -0.317746 -0.499076
9,Priors,mu_c_priors,0.380846 0.322072 -0.287197 -0.611728 -0.449266 -0.250329 -0.338192 -0.795891 0.366909 0.192185 -0.434041 0.0465843 -0.225355 -0.269849 0.130659 -0.79348 -0.219719 0.665637 0.322654 0.586274 0.30664 -0.0846619 0.243026 0.209922 -0.419726 -0.197557 -0.394654 -0.20813 -0.386126 -0.39004 0.24913 0.243983 -0.175853 -0.79255 -0.617641 -0.343744 -0.0233527 0.530472 -0.278823 -0.511195
